№,Питання,A,B,C,D,Правильна
123,Що в обчислювальній складності алгоритму О(n) прийнято позначати літерою n?,Кількість вхідних даних,"Кількість дій, які виконує алгоритм","Кількість функцій, що є в алгоритмі",Кількість часу для виконання алгоритму,A
124,"Як називається принцип інженерно-технічного захисту інформації, який передбачає прогнозування дій зловмисника?",Безперервність,Активність,Скритність,Цілеспрямованість,B
125,"Яку назву мають спеціальні елементи пам’яті, що призначені для тимчасового зберігання процесором інструкцій та інформації?",Регістр,Сторінка,Буфер,Комірка,A
126,Що залишиться в черзі після виконання цього коду?,0,1,2,Нічого,D
127,Яка з наведених складностей є найбільшою інформаційною проблемою для інтернету речей?,Висока вартість пристроїв,Необхідність в спеціальних навичках для налаштування,Небезпека кібератак,Несумісність пристроїв різних виробників,C
128,"До якого класу обчислювальних систем, за класифікацією Флінна, належать кластери?",SISD (single instructions ‒ multiple data) ‒ одиночний потік команд та одиночний потік даних. ,SIMD (single instructions ‒ multiple data) ‒ одиночний потік команд та множинний потік даних. ,MISD (multiple instructions ‒ single data) ‒ множинний потік команд та одиночний потік даних. ,MIMD (multiple instructions ‒ multiple data) ‒ множинний потік команд та множинний потік даних. ,D
129,Що розуміють під навчанням штучної нейронної мережі?,Процес зміни вагових коефіцієнтів за певним правилом,Визначення типу активаційної функції для кожного нейрона,Розбиття початкової вибірки даних на навчальну та контрольну вибірки,Нормування вхідних і вихідних даних,A
130,Яка основна перевага використання багатокористувацької операційної системи на сервері?,Зниження витрат на обладнання та інфраструктуру для підтримки багатокористувацького режиму. ,Підвищення продуктивності одного користувача,Одночасний доступ кількох користувачів до ресурсів системи,Покращена підтримка периферійних пристроїв,C
131,Визначте значення суми за модулем два двійкових чисел 10010100 та 11001101.,01011001,10000100,11011101,00100010,A
132,"Як називається шкідливе програмне забезпечення, призначене для збирання та передавання особистої інформації з використанням маскування без можливості поширюватися, копіювати або інфікувати файли?",Troyan,Virus,Worm,Rootkit,A
133,"Яка властивість бази даних вказує на те, що дані достовірні, несуперечливі й надійні?",Цілісність (Integrity),Відношення (Relation),Індексація (Indexing),Повнота (completeness),A
134,Які вершини обходяться першими під час виконання алгоритму пошуку в ширину (BFS)?,"Ті, що мають найменші BFS-номери","Ті, що є суміжними із стартовою вершиною","Ті, що є інцидентними до ребер з найбільшою вагою","Ті, що є інцидентними до ребер з найменшою вагою",B
135,Що є кластером записів?,"Логічний запис, що складається з одного або декількох фізичних блоків","Фізичний блок, що складається з 512 байтів","Сукупність логічних записів, що об’єднуються в один файл","Мінімальний елемент даних, з яким може оперувати програміст",A
136,"Зв’язок якого типу відображає взаємодію між класами, коли один клас визначає правила, яких має дотримуватися інший клас?",Асоціація,Спадкування,Залежність,Реалізація,D
137,Який принцип кібербезпеки вказує на необхідність забезпечення правдивості та відкритості даних?,Принцип доступності,Принцип конфіденційності,Принцип цілісності,Принцип автентифікації,C
138,"Яку з моделей кібербезпеки застосовують зловмисники на противагу моделі CIA (Confidentiality, Integrity, Availability)?","DAD (Disclosure, Alteration, Denial)",MAC (Mandatory Access Control),DAC (Discretionary Access Control),IKE (Internet Key Exchange),A
139,Що таке логічна організація файлів у контексті файлової системи?,Розташування файлів на фізичних секторах носія,"Структура і спосіб доступу до даних, який бачить користувач або програма",Процес резервного копіювання файлів,Метод стиснення файлів для зменшення їх розміру,B
140,"Виконайте пошук в глибину (DFS), починаючи з вершини A. Який правильний порядок обходу вершин?","A, B, D, F, E, C","A, C, E, F, B, D","A, B, E, F, D, C","A, F, E, B, D, C",A
